state,single_rate,single_threshold,family_rate,family_threshold
Montana,6.90%,"$18,400 ",6.90%,"$18,400 "
Nebraska,2.46%,$0 ,2.46%,$0 
Nebraska,3.51%,"$3,290 ",3.51%,"$6,570 "
Nebraska,5.01%,"$19,720 ",5.01%,"$39,450 "
Nebraska,6.84%,"$31,780 ",6.84%,"$63,550 "
Nevada,0.00%,$0 ,0.00%,$0 
New Hampshire,5.00%,$0 ,5.00%,$0 
New Jersey,1.40%,$0 ,1.40%,$0 
New Jersey,1.75%,"$20,000 ",1.75%,"$20,000 "
New Jersey,3.50%,"$35,000 ",2.45%,"$50,000 "
New Jersey,5.53%,"$40,000 ",3.50%,"$70,000 "
New Jersey,6.37%,"$75,000 ",5.53%,"$80,000 "
New Jersey,8.97%,"$500,000 ",6.37%,"$150,000 "
New Jersey,10.75%,"$5,000,000 ",8.97%,"$500,000 "
New Mexico,1.70%,$0 ,1.70%,$0 
New Mexico,3.20%,"$5,500 ",3.20%,"$8,000 "
New Mexico,4.70%,"$11,000 ",4.70%,"$16,000 "
New Mexico,4.90%,"$16,000 ",4.90%,"$24,000 "
New York,4.00%,$0 ,4.00%,$0 
New York,4.50%,"$8,500 ",4.50%,"$17,150 "
New York,5.25%,"$11,700 ",5.25%,"$23,600 "
New York,5.90%,"$13,900 ",5.90%,"$27,900 "
New York,6.21%,"$21,400 ",6.21%,"$43,000 "
New York,6.49%,"$80,650 ",6.49%,"$161,550 "
New York,6.85%,"$215,400 ",6.85%,"$323,200 "
New York,8.82%,"$1,077,550 ",8.82%,"$2,155,350 "
North Carolina,5.25%,$0 ,5.25%,$0 
North Dakota,1.10%,"$4,500 ",1.10%,"$10,400 "
North Dakota,2.04%,"$43,000 ",2.04%,"$75,000 "
North Dakota,2.27%,"$87,000 ",2.27%,"$141,000 "
North Dakota,2.64%,"$202,000 ",2.64%,"$252,000 "
North Dakota,2.90%,"$432,000 ",2.90%,"$440,000 "
Ohio,1.98%,"$10,850 ",1.98%,"$10,850 "
Ohio,2.75%,"$16,300 ",2.75%,"$16,300 "
Ohio,2.97%,"$21,750 ",2.97%,"$21,750 "
Ohio,3.47%,"$43,450 ",3.47%,"$43,450 "
Ohio,3.96%,"$86,900 ",3.96%,"$86,900 "
Ohio,4.60%,"$108,700 ",4.60%,"$108,700 "
Ohio,5.00%,"$217,400 ",5.00%,"$217,400 "
Oklahoma,0.50%,"$6,350 ",0.50%,"$12,700 "
Oklahoma,1.00%,"$7,350 ",1.00%,"$14,700 "
Oklahoma,2.00%,"$8,850 ",2.00%,"$17,700 "
Oklahoma,3.00%,"$10,100 ",3.00%,"$20,200 "
Oklahoma,4.00%,"$11,250 ",4.00%,"$22,500 "
Oklahoma,5.00%,"$13,550 ",5.00%,"$24,900 "
Oregon,5.00%,$0 ,5.00%,$0 
Oregon,7.00%,"$3,550 ",7.00%,"$7,100 "
Oregon,9.00%,"$8,900 ",9.00%,"$17,800 "
Oregon,9.90%,"$125,000 ",9.90%,"$250,000 "
Pennsylvania,3.07%,$0 ,3.07%,$0 
Rhode Island,3.75%,$0 ,3.75%,$0 
Rhode Island,4.75%,"$64,050 ",4.75%,"$64,050 "
Rhode Island,5.99%,"$145,600 ",5.99%,"$145,600 "
South Carolina,1.10%,$0 ,1.10%,$0 
South Carolina,3.00%,"$2,450 ",3.00%,"$2,450 "
South Carolina,4.00%,"$4,900 ",4.00%,"$4,900 "
South Carolina,5.00%,"$7,350 ",5.00%,"$7,350 "
South Carolina,6.00%,"$9,800 ",6.00%,"$9,800 "
South Carolina,7.00%,"$12,250 ",7.00%,"$12,250 "
South Dakota,0.00%,$0 ,0.00%,$0 
Tennessee,2.00%,$0 ,2.00%,$0 
Texas,0.00%,$0 ,0.00%,$0 
Utah,4.95%,$0 ,4.95%,$0 
Vermont,3.35%,$0 ,3.35%,$0 
Vermont,6.60%,"$39,600 ",6.60%,"$66,150 "
Vermont,7.60%,"$95,900 ",7.60%,"$159,850 "
Vermont,8.75%,"$200,100 ",8.75%,"$243,650 "
Virginia,2.00%,$0 ,2.00%,$0 
Virginia,3.00%,"$3,000 ",3.00%,"$3,000 "
Virginia,5.00%,"$5,000 ",5.00%,"$5,000 "
Virginia,5.75%,"$17,000 ",5.75%,"$17,000 "
Washington,0.00%,$0 ,0.00%,$0 
West Virginia,3.00%,$0 ,3.00%,$0 
West Virginia,4.00%,"$10,000 ",4.00%,"$10,000 "
West Virginia,4.50%,"$25,000 ",4.50%,"$25,000 "
West Virginia,6.00%,"$40,000 ",6.00%,"$40,000 "
West Virginia,6.50%,"$60,000 ",6.50%,"$60,000 "
Wisconsin,4.00%,$0 ,4.00%,$0 
Wisconsin,5.84%,"$11,760 ",5.84%,"$15,680 "
Wisconsin,6.27%,"$23,520 ",6.27%,"$31,360 "
Wisconsin,7.65%,"$258,950 ",7.65%,"$345,270 "
Wyoming,0.00%,$0 ,0.00%,$0 
District of Columbia,4.00%,$0 ,4.00%,$0 
District of Columbia,6.00%,"$10,000 ",6.00%,"$10,000 "
District of Columbia,6.50%,"$40,000 ",6.50%,"$40,000 "
District of Columbia,8.50%,"$60,000 ",8.50%,"$60,000 "
District of Columbia,8.75%,"$350,000 ",8.75%,"$350,000 "
District of Columbia,8.95%,"$1,000,000 ",8.95%,"$1,000,000 "
