,Management,Business & Financial Operations,Computer & Mathematical,Architecture & Engineering,"Life, Physical, & Social Science",Community & Social Service,Legal,"Education, Training, & Library","Arts, Design, Entertainment, Sports, & Media",Healthcare Practitioners & Technical,Healthcare Support,Protective Service,Food Preparation & Serving Related,Building & Grounds Cleaning & Maintenance,Personal Care & Service,Sales & Related,Office & Administrative Support,"Farming, Fishing, & Forestry",Construction & Extraction,"Installation, Maintenance, & Repair",Production,Transportation & Material Moving,CoL Per Year,Leisure,Health
"Amarillo, TX",59969.88074686501,33269.380746865005,43371.480746865,43090.280746865006,26617.540746865,13193.740746865005,40807.240746865,17358.160746865004,13394.200746865004,27211.120746865003,411.2007468650045,9422.440746865002,-4911.919253134998,-2286.8792531349973,-5346.639253134996,1696.8807468650048,7209.2007468650045,-2132.8792531349973,7729.060746865005,10425.520746865004,7028.800746865003,5589.120746865003,23098.879253134997,172.7,2174
"Ames, IA",34951.946589368,20116.069689367996,29658.627189368,25254.954489367996,16987.439289367994,6018.454689367998,19774.559289367997,9118.054689367997,6057.439689367999,17510.288889368003,1527.698489368002,6690.034689368,-6413.693310631999,-1848.2475106320016,-3608.9948106320007,-2134.5671106320005,5535.874689368,3584.5021893679987,8424.232189368002,9081.462189367998,5906.202189367999,5569.392189367998,23225.410310632,470.0,2237
"Anaheim, CA",43368.59917230599,16469.456172305996,33165.50017230599,29076.123172305997,17706.056172306002,-235.0548276940026,35203.85217230599,3437.845172306006,5423.183172306002,22749.62817230601,-7089.614827693997,-1754.0548276939953,-14582.394827694,-10485.714827693995,-14754.594827693996,-9846.474827693997,-7462.794827693997,-15394.674827693998,2703.545172306003,-522.7548276939997,-8869.834827693994,-9434.814827693994,35778.954827694,432.00000004000003,2121
"Anchorage, AK",43157.315944235,26381.995944234997,29045.695944235,41961.075944234995,24648.835944235,6619.135944234997,36519.47594423499,15958.855944234998,5591.875944235002,31500.435944235,-698.8240557650024,11457.475944235,-10191.004055764999,-3854.124055764998,-4940.044055765,-5845.564055765,633.4159442350028,265.1559442350008,19216.915944235003,15846.535944234998,-495.1640557649989,4003.0159442350014,32578.204055765,912.0,2299
"Ann Arbor, MI",42504.651381139,16620.043881139005,25534.943881139006,28243.043881139005,10619.006381139006,1416.481381139005,21483.856381139005,1538.168881139005,453.3063811390093,16233.593881139008,-7260.143618860995,-1838.1061188609965,-14548.906118860992,-10723.206118860995,-12377.268618860995,-9413.356118860993,-2779.518618860995,-9362.268618860995,3890.056381139002,1325.7688811390035,-1969.6561188609958,-5045.7936188609965,31874.268618860995,506.29846156,2214
"Annapolis, MD",50679.756593439,22119.129093438998,35602.306593439,32311.269093438998,25231.156593439002,1050.231593438999,16090.654093439,8337.141593438995,5187.391593438995,20582.344093439002,-8224.273406560998,-494.61090656099987,-16137.185906561,-11863.963406561,-14116.708406561,-11367.793406560999,-2572.4309065609996,-5972.360906560996,-577.383406560999,2633.1640934389943,-4482.185906561001,-5209.790906561,34644.493406561,552.0,2479
"Appleton, WI",47085.108779225,21708.100279225,30791.270179224994,28201.817179224992,20305.778779224995,8219.273779224997,24682.026079224997,12211.048279224997,7747.290379224996,24430.971079224997,3567.9438792249966,8108.8095792249915,-5365.826820775001,-1148.694420775002,-2687.6703207750033,507.1553792249979,6922.143079224996,3954.526779224998,14476.281679225001,10787.207779224998,7990.354179224996,6190.659579224997,22100.997220775003,365.23,2384
"Arlington, TX",57720.01834708801,31019.518347088,41121.618347088,40840.418347088,24367.678347087996,10943.878347088,38557.37834708799,15108.298347087999,11144.338347088,24961.258347087998,-1838.6616529120001,7172.578347087998,-7161.781652912003,-4536.741652912002,-7596.501652912,-552.9816529119998,4959.338347088,-4382.741652912002,5479.198347088,8175.658347088,4778.938347087998,3339.258347087998,25348.741652912002,412.99999995999997,2174
"Arlington, VA",46269.762331711994,14311.327331711997,27603.634831711992,16343.964831711994,14244.134831712,-8759.542668287999,23115.362331712,-5436.765168288002,-4099.417668287999,3949.954831711999,-18595.410168288,-11695.060168288004,-25491.250168288003,-22030.992668288003,-23985.252668287998,-21091.697668287998,-13180.892668288005,-16581.930168288003,-12386.492668288003,-8008.865168288001,-14128.412668288001,-15541.467668288002,42777.732668288,550.28409092,2472
"Asheville, NC",48714.54736897501,20178.694868975002,32360.684868975,25829.187368974995,15732.942368975,3706.6398689749985,16705.609868974996,3556.774868974997,3676.8123689750028,15351.732368974994,-7224.410131025001,1500.7498689749991,-12468.277631025001,-8943.955131024999,-10646.122631024999,-7292.265131025,-687.1601310250007,-5598.372631024999,2684.0748689750035,2733.244868974998,-2508.487631025,-4474.627631025,28863.535131025,558.7425000000001,2165
"Astoria, NY",50548.80060076097,15997.060300760982,20580.95430076099,16188.707100760992,6853.835700760988,-6889.641899239017,31535.73030076098,325.25310076098685,4845.151500760985,14482.95900076098,-19273.702799239018,-9061.289399239016,-22227.13969923902,-16438.861399239016,-21049.363699239017,-17919.260399239014,-13713.999299239014,-15243.909499239016,207.5175007609796,-6232.763399239018,-12971.783299239014,-12651.984399239016,42294.316199239016,479.99999996,2338
"Athens, GA",48807.600882009996,23729.43338201,35214.22588201,30775.25338201,19239.818382009995,7088.090882009998,31949.31588201,11168.770882010002,10484.563382010005,20845.21338201,-828.0466179899959,6051.343382010004,-7952.5416179899985,-4118.869117989998,-5862.569117990002,-3281.5641179899976,3572.328382010004,-3019.186617989999,7599.28838201,7303.3958820100015,1930.6183820099977,1008.5958820099986,23994.58161799,420.0,2392
"Atlanta, GA",39423.25190506999,14345.084405069996,25829.87690507,21390.904405069996,9855.46940506999,-2296.2580949300063,22564.966905069996,1784.4219050699976,1100.2144050700008,11460.864405069995,-10212.39559493,-3333.0055949300004,-17336.890594930002,-13503.218094930002,-15246.918094930006,-12665.913094930002,-5812.02059493,-12403.535594930003,-1785.0605949300043,-2080.9530949300024,-7453.730594930006,-8375.753094930005,33378.93059493,476.07885716,2392
"Augusta, GA",48290.729801190006,23212.56230119001,34697.35480119001,30258.38230119001,18722.947301190005,6571.219801190007,31432.44480119001,10651.899801190011,9967.692301190014,20328.34230119001,-1344.9176988099862,5534.472301190013,-8469.412698809989,-4635.740198809988,-6379.440198809993,-3798.435198809988,3055.457301190014,-3536.0576988099892,7082.417301190009,6786.524801190011,1413.7473011900074,491.7248011900083,24511.45269880999,384.0,2392
"Aurora, IL",40311.137448159,18625.419948159,30502.684948159,28004.309448159005,16807.205448159,1799.8134481590023,32308.065448159006,6188.657448159003,3588.8079481589994,18144.750948159,-6849.026051841,1815.1539481590007,-12658.373551841,-6968.6180518409965,-10770.647051841002,-6960.313051841,-586.2255518409984,-5413.922051841,18805.853448159007,4919.048448158999,-1731.4850518409985,-4115.020051840998,30505.818551841,537.5,2473
"Austin, TX",47960.66951904,21260.16951903999,31362.26951903999,31081.069519039993,14608.329519039988,1184.529519039992,28798.029519039985,5348.94951903999,1384.9895190399911,15201.90951903999,-11598.010480960009,-2586.770480960011,-16921.13048096001,-14296.09048096001,-17355.85048096001,-10312.330480960009,-4800.010480960009,-14142.09048096001,-4280.150480960008,-1583.6904809600092,-4980.41048096001,-6420.090480960011,35108.09048096001,492.57951216000004,2174
"Bakersfield, CA",52446.08024402999,25546.937244029992,42242.98124402999,38153.60424402999,26783.537244029998,8842.426244029994,44281.333244029986,12515.326244030002,14500.664244029998,31827.109244030005,1987.8662440299995,7323.426244030001,-5504.913755970003,-1408.233755969999,-5677.11375597,-768.9937559700011,1614.6862440299992,-6317.193755970002,11781.02624403,8554.726244029996,207.64624403000198,-357.3337559699976,26701.47375597,419.77923076,2121
"Baltimore, MD",52986.702360247,24426.074860246998,37909.252360247,34618.214860247,27538.102360247,3357.1773602469984,18397.599860247,10644.087360246995,7494.337360246995,22889.289860247,-5917.327639752999,1812.3348602469996,-13830.240139753001,-9557.017639753001,-11809.762639753,-9060.847639753,-265.4851397530001,-3665.4151397529968,1729.5623602470005,4940.109860246994,-2175.240139753001,-2902.8451397530007,32337.547639753,523.27304352,2479
"Baton Rouge, LA",32838.381771511005,15105.421771511006,18142.381771510998,30170.701771511005,17224.381771510998,5666.541771511005,19112.941771511003,9251.841771511004,3473.9217715110026,14275.981771511004,-5328.418228488998,2768.341771511001,-8992.498228489,-7350.298228488999,-8594.338228488996,-5397.298228488999,349.1417715110001,2310.541771511005,6762.481771511004,5392.741771511002,5004.241771511002,1524.3017715110036,25194.418228488998,547.14285716,2261
"Beaverton, OR",31964.998550385,14472.908550385004,25699.82855038501,25227.248550385,9944.438550385003,702.578550385002,21372.908550385004,3513.6385503849997,2023.2385503850055,24507.228550385003,-2916.1014496149946,1767.2485503850003,-12099.851449614995,-8962.761449614998,-10506.421449614998,-8206.731449614996,-2095.291449614997,-6614.091449614996,2569.7185503850014,376.2085503850067,-2794.441449614995,-4037.901449614994,31465.911449614996,363.0,2000
"Belleville, IL",50123.73770893601,28438.020208936,40315.285208935995,37816.909708936,26619.805708935997,11612.413708936001,42120.66570893601,16001.257708936002,13401.408208935998,27957.351208935997,2963.574208935999,11627.754208936,-2845.7732910640007,2843.9822089360023,-958.0467910640036,2852.287208935999,9226.374708936,4398.678208935999,28618.453708936006,14731.648708935998,8081.115208936,5697.580208936,20693.218291064,350.0,2473
"Bellevue, WA",46585.348743120005,16622.488743120004,41003.14874312001,29939.82874312,13309.048743120002,-2337.751256880001,23576.348743120005,-219.27125687999796,-372.15125687999534,19631.728743120002,-10361.05125688,1104.3887431199983,-17377.29125688,-12805.69125688,-15249.451256879998,-11746.17125688,-9438.87125688,-14344.811256879999,2789.188743120001,149.6687431199971,-8572.291256880002,-8025.53125688,40588.17125688,577.5,1955
"Bellingham, WA",59038.623137092,29075.763137092,53456.423137092,42393.103137091995,25762.323137091997,10115.523137091994,36029.623137092,12234.003137091997,12081.123137092,32085.003137091997,2092.2231370919944,13557.663137091993,-4924.0168629080035,-352.416862908005,-2796.1768629080034,707.1031370919954,3014.4031370919947,-1891.536862908004,15242.463137091996,12602.943137091992,3880.983137091993,4427.743137091995,28134.896862908005,457.20000000000005,1955
"Bend, OR",35425.06501225599,17932.975012255996,29159.895012256,28687.315012255993,13404.505012255995,4162.6450122559945,24832.975012255996,6973.705012255992,5483.305012255998,27967.295012255996,543.9650122559979,5227.315012255993,-8639.784987744002,-5502.694987744006,-7046.3549877440055,-4746.664987744003,1364.7750122559955,-3154.0249877440037,6029.785012255994,3836.275012255999,665.6250122559977,-577.8349877440014,28005.844987744003,824.00000004,2000
"Bentonville, AR",30942.268707283,17023.732707283,24066.898707283006,23847.91070728301,14287.804707283001,7269.380707283006,15077.725707283003,8283.409707283,4567.723707283003,14053.885707283007,-2967.253292716996,5024.816707283004,-6743.823292716999,-5094.698292716999,-6202.7432927169975,-3684.373292716995,1746.3167072830038,-132.8032927169952,6271.476707283004,4559.9027072829995,2027.6867072830028,1293.1367072829999,23365.333292716998,309.94642852,2213
"Bergen County, NJ",55257.46064732298,18277.265847322982,29184.50714732299,23052.889347322984,20374.22324732299,-1175.3728526770137,24686.40914732298,3610.5459473229857,487.0889473229836,18844.575447322983,-13188.359252677012,-6953.405952677014,-18192.584252677014,-13641.171752677012,-15814.671752677015,-13002.059252677012,-9679.941752677012,-16276.109252677012,3156.159047322988,-489.8066526770126,-8917.371752677016,-11005.371752677012,38741.646752677014,488.75,2737
"Berkeley, CA",34150.30746691098,7251.164466910981,23947.208466910975,19857.831466910982,8487.764466910987,-9453.346533089018,25985.560466910974,-5780.446533089009,-3795.108533089013,13531.336466910994,-16307.906533089012,-10972.34653308901,-23800.686533089014,-19704.00653308901,-23972.88653308901,-19064.766533089012,-16681.086533089012,-24612.966533089013,-6514.746533089012,-9741.046533089015,-18088.12653308901,-18653.10653308901,44997.24653308901,882.5,2121
"Bethlehem, PA",51544.58398196701,21685.21748196699,31366.173481966995,27397.131381966996,20544.033581967,1921.6806819669982,28891.984881967,12080.690081966997,4171.828581966998,18909.810281966995,-3343.0563180330028,3506.548181966995,-11319.681918033002,-6287.579418033005,-8917.012218033004,-5937.6678180330055,999.4145819669975,-3648.8043180330023,6584.574581966997,4927.872281966993,2668.2890819669956,-748.4448180330037,29204.241318033004,455.0,2321
"Billings, MT",34090.83580694199,17312.65780694199,19821.065806941984,25504.088806941993,13018.928806941989,7509.862806941983,18000.194806941992,7192.761806941988,2312.163806941986,21532.442806941992,34.87580694198914,7197.2608069419875,-6205.769193058015,-2342.97619305801,-4228.5511930580105,-2226.192193058014,2896.8948069419894,1453.3148069419876,10437.287806941986,6955.520806941986,5424.781806941988,5741.071806941989,23383.560193058012,662.98,2349
"Biloxi, MS",25329.624161975007,16483.484161975,20966.414161975,27034.904161975,14073.024161975009,4861.864161975005,18961.834161975,4745.814161975002,5271.054161975,13524.794161974998,-5904.895838024997,-261.72583802499867,-9405.835838024997,-8278.695838025,-8850.565838024999,-7057.765838024996,-680.0458380249984,2436.604161975003,5143.234161975004,3499.7041619750016,361.6041619750031,-2319.2958380249984,25517.795838025,269.99999995999997,2383
"Birmingham, AL",43734.64055391599,21226.030553916,31168.630553916,34005.510553916,15203.530553916,4471.800553916004,21233.330553915996,7663.360553916002,3579.950553916002,12349.230553915997,-6512.8494460839975,2162.3105539159988,-10867.029446084001,-7998.549446083998,-10662.019446084003,-6845.679446083999,-552.6194460840015,-570.0494460839982,4817.480553915997,5147.780553916,-1048.129446084,-3045.9394460840012,27098.509446084,421.54545459999997,2496
"Bloomington, IL",48465.05623693501,26779.338736935002,38656.603736935,36158.22823693501,24961.124236935,9953.732236935004,40461.98423693501,14342.576236935005,11742.726736935001,26298.669736935,1304.8927369350022,9969.072736935002,-4504.454763064998,1185.3007369350053,-2616.7282630650006,1193.605736935002,7567.693236935003,2739.9967369350015,26959.77223693501,13072.967236935001,6422.433736935003,4038.8987369350034,22351.899763064997,443.99999996,2473
"Bloomington, IN",34688.020434013,18429.962134013,27021.782834012996,26575.405934013,13860.767434013,3423.623134013,23744.613734012997,5569.522134013001,5838.7384340129975,18160.790134013,-2122.8599659870015,5141.081334013001,-9229.976765987001,-4826.175265987,-7537.967565987001,-4651.549065987001,2089.3613340129996,-3117.212065986998,8869.122234013,6208.057934012995,3806.801534012997,1121.287934013002,26112.769965987,606.75,2268
"Boca Raton, FL",33501.170723749005,7943.630723749004,16970.570723749,13889.570723748999,3434.4507237490034,-8874.729276250997,11409.950723749003,-4678.3292762509955,-6234.429276251001,7350.050723749002,-15297.989276250999,-9115.109276250998,-21435.989276251,-19417.269276250998,-20069.349276251,-17670.469276251,-11849.269276250998,-21164.069276250997,-7630.549276250997,-9492.489276250999,-13179.829276251,-14573.749276250997,40537.269276251,333.54999999999995,2555
"Boise, ID",25369.544180659,15148.967480659001,22379.629280659003,29390.684780659005,10301.282780659003,3553.1862806590034,19257.524180659002,3470.654080659002,1443.904080659002,18804.097580659003,-2751.4684193409958,1981.1178806590033,-10089.924819340999,-6128.844619340998,-7854.824919340997,-5069.259719341,9.775780659001612,-6286.931119340996,1674.0954806590016,3509.1228806590043,734.5415806590026,142.73058065900113,26085.846519340997,458.86363632,1839
"Boston, MA",36695.11508601799,10252.12558601798,21506.13908601798,16813.50608601798,9786.704586017986,-13312.183413982013,25455.216086017987,-366.47641398201813,-3676.2179139820146,13404.295086017984,-17663.774913982015,-5484.6484139820095,-24302.263413982015,-16887.362913982015,-21350.072913982014,-20428.498413982015,-15300.800413982015,-20743.708413982014,-2820.5144139820186,-6813.06791398202,-13968.352413982015,-16767.914913982015,45933.964413982016,740.3636363200001,2660
"Boulder, CO",49692.471587559994,19120.15918755999,34274.41048756,26153.93188756,16674.737087559995,1488.6144875600003,27806.14738755999,1617.0119875599994,-66.09581244000583,19225.811987560002,-5934.5568124400015,-2307.549312440002,-14836.805412440008,-10239.783612440006,-12770.063112440006,-7238.463612440006,-2186.2416124400042,-10968.437412440006,273.607287559993,2009.5414875599963,-3610.2012124400026,-4364.699712440004,33653.414412440005,988.75,2367
"Bozeman, MT",31761.88433494,14983.706334940001,17492.114334939997,23175.137334940006,10689.977334940002,5180.911334939996,15671.243334940005,4863.810334940001,-16.787665060001018,19203.491334940005,-2294.075665059998,4868.309334940001,-8534.720665060002,-4671.927665059997,-6557.5026650599975,-4555.143665060001,567.9433349400024,-875.6366650599994,8108.336334939999,4626.569334939999,3095.830334940001,3412.120334940002,25712.51166506,671.5999999999999,2349
"Bronx, NY",59368.527177096985,24816.786877096994,29400.680877097002,25008.433677097004,15673.562277097,1930.0846770969947,40355.45687709699,9144.979677096999,13664.878077096997,23302.685577096992,-10453.976222903006,-241.56282290300442,-13407.413122903006,-7619.1348229030045,-12229.637122903005,-9099.533822903002,-4894.272722903002,-6424.1829229030045,9027.244077096992,2586.9631770969936,-4152.056722903002,-3832.257822903004,33474.589622903004,448.59999999999997,2338
"Brooklyn, NY",44769.113074968984,10217.372774968993,14801.266774969,10409.019574969003,1074.1481749689992,-12669.329425031006,25756.04277496899,-5454.434425031002,-934.5360250310041,8703.271474968991,-25053.390325031007,-14840.976925031006,-28006.827225031007,-22218.548925031006,-26829.051225031006,-23698.947925031003,-19493.686825031004,-21023.597025031006,-5572.17002503101,-12012.450925031008,-18751.470825031003,-18431.671925031005,48074.003725031005,806.52,2338
"Buffalo, NY",64520.258782351986,29968.518482352,34552.41248235201,30160.16528235201,20825.293882352005,7081.816282352,45507.188482351994,14296.711282352004,18816.609682352002,28454.417182351997,-5302.244617648001,4910.168782352001,-8255.681517648001,-2467.4032176479996,-7077.905517648,-3947.802217647997,257.45888235200255,-1272.4513176479995,14178.975682351997,7738.694782351999,999.6748823520029,1319.4737823520009,28322.858017648,342.85142856000004,2338
"Burlington, VT",29079.590559202,12584.588559201999,19224.788559202003,18115.232559202006,13921.196559202006,-2817.8194407979972,19393.292559202004,1449.758559202004,-2457.963440798001,16660.81455920201,-4958.177440797997,-3221.9434407980007,-8963.815440798,-6743.445940797996,-7980.182440797998,-7579.787940797996,-38.31944079799359,-4269.972940797998,-893.5894407979977,825.0085592020005,-1021.9524407979989,-1501.0714407979976,31639.857440797998,830.0,2377
"Cambridge, MA",38650.55293156001,12207.563431559996,23461.576931559997,18768.943931559996,11742.142431560002,-11356.745568439997,27410.653931560002,1588.9614315599974,-1720.780068439999,15359.73293156,-15708.33706844,-3529.210568439994,-22346.82556844,-14931.92506844,-19394.63506844,-18473.06056844,-13345.36256844,-18788.27056844,-865.076568440003,-4857.630068440005,-12012.91456844,-14812.47706844,43978.52656844,810.0,2660
"Canton, OH",45834.050806489,23468.996806489,34133.494506489005,32086.900706489,21414.204706489003,8027.871406489001,25623.659106488998,14352.487206489004,5761.657506489002,21199.558306489005,-2276.260593510997,6101.543406488996,-7453.457893511,-3413.1116935110003,-5302.4782935110015,-2031.374193511001,4817.792306488998,-124.1512935110004,10956.155106489005,8832.795406489004,6383.194606489,1931.023806489,24695.270393511,370.00000004000003,2332
"Cary, NC",51060.82581536101,22524.973315361003,34706.963315361005,28175.465815360996,18079.220815361,6052.918315360999,19051.888315360997,5903.053315360998,6023.0908153610035,17698.010815360994,-4878.131684639,3847.028315361,-10121.999184639,-6597.676684638998,-8299.844184638998,-4945.986684639,1659.118315361,-3252.094184638998,5030.353315361004,5079.523315360999,-162.20918463899943,-2128.349184638999,26517.256684639,506.25,2165
"Cedar Rapids, IA",37140.620294471,22304.743394470992,31847.300894470995,27443.62819447099,19176.11299447099,8207.128394470994,21963.232994470993,11306.728394470992,8246.113394470995,19698.962594471,3716.372194470998,8878.708394470996,-4225.0196055290035,340.42619447099423,-1420.3211055290049,54.10659447099533,7724.548394470996,5773.1758944709945,10612.905894470998,11270.135894470994,8094.875894470995,7758.065894470994,21036.736605529004,614.0,2237
"Champaign, IL",47272.84808604701,25587.130586047002,37464.395586047,34966.02008604701,23768.916086047,8761.524086047004,39269.77608604701,13150.368086047005,10550.518586047001,25106.461586047,112.68458604700209,8776.864586047002,-5696.662913952998,-6.90741395299483,-3808.9364139530007,1.3975860470018233,6375.485086047003,1547.7885860470014,25767.56408604701,11880.759086047,5230.225586047003,2846.6905860470033,23544.107913952997,281.0,2473
"Chandler, AZ",36708.339727958,20020.225327958004,33708.60612795801,31599.070127958003,15703.052527958003,3400.8973279580023,31621.935727958007,4683.212527958003,6372.315727958005,25499.118127958005,-974.9154720419938,5496.788527958008,-7642.302672041995,-5461.528272041996,-6258.251472041997,-3815.3074720419972,2908.3677279580043,-7904.472272041996,4437.646927958005,5658.010927958003,2002.7197279580068,505.43812795800477,26652.152272041996,381.82500000000005,2262
"Chapel Hill, NC",51669.21171216,23133.359212160005,35315.34921216,28783.851712159998,18687.606712160003,6661.304212160001,19660.27421216,6511.439212159999,6631.476712160005,18306.396712159996,-4269.745787839998,4455.414212160002,-9513.613287839999,-5989.2907878399965,-7691.458287839996,-4337.600787839998,2267.5042121600018,-2643.708287839996,5638.739212160006,5687.909212160001,446.17671216000235,-1519.963287839997,25908.87078784,507.5,2165
"Charleston, SC",28096.848433703017,7971.178433703004,16304.448433703008,20256.30843370301,8562.608433703012,-5182.991566296994,6509.998433703004,-85.19156629699137,-2852.47156629699,8606.628433703001,-12326.231566296992,-4602.071566296992,-17659.271566296993,-15175.811566296994,-16959.43156629699,-13892.77156629699,-7268.591566296993,-6793.121566296992,-3051.7315662969922,-3780.7415662969943,-4551.851566296995,-9667.811566296994,33507.73156629699,476.56285716,2342
"Charleston, WV",33993.277649064,20693.132649064,25034.327649064,30330.332649063996,17123.372649063997,8537.157649063996,20559.932649064,10575.692649064,9455.657649063996,18559.772649063998,32.682649063997815,5006.777649063995,-4279.707350936002,-2214.987350936004,-4409.067350936002,-2534.187350936001,3168.107649063997,2592.7926490639984,10449.692649064,10769.947649063997,8012.777649063995,4241.917649063998,21458.547350936,610.00000004,2185
"Charlotte, NC",44907.718199519004,16371.865699519003,28553.855699519,22022.358199518996,11926.113199519,-100.18930048100083,12898.780699518997,-250.05430048100243,-130.0168004809966,11544.903199518994,-11031.239300481,-2306.0793004810002,-16275.106800481,-12750.784300480998,-14452.951800480998,-11099.094300481,-4493.989300481,-9405.201800480998,-1122.7543004809959,-1073.5843004810013,-6315.3168004809995,-8281.456800480999,32670.364300481,528.0,2165
"Charlottesville, VA",59575.409805242976,27616.974805242982,40909.282305242974,29649.61230524298,27549.782305242985,4546.104805242987,36421.00980524298,7868.882305242983,9206.229805242987,17255.602305242985,-5289.762694757013,1610.5873052429815,-12185.602694757017,-8725.345194757017,-10679.605194757012,-7786.050194757012,124.75480524298109,-3276.2826947570175,919.1548052429825,5296.782305242985,-822.7651947570157,-2235.820194757016,29472.085194757015,954.0,2472
"Chattanooga, TN",34271.063705648994,17888.183705649,27340.303705648996,25964.703705648997,16410.743705648998,3448.1837056489967,27911.063705648998,7967.143705648992,4221.863705648993,15519.263705648995,-4114.196294351004,1892.9037056489942,-10510.876294351005,-7122.476294351003,-9360.196294351004,-5706.9162943510055,866.9237056489947,-4273.2962943510065,5590.903705648994,5089.783705648992,1167.0637056489977,-655.2762943510061,27496.736294351005,481.32,2208
